29.5,2.5
29.4,2.5
29.0,2.0
28.8,2.8
28.5,3.0
28.4,2.6
28.1,2.6
27.8,2.5
27.5,2.8
27.5,2.8
27.3,2.0
27.5,2.2
28.2,1.8
28.7,2.7
29.8,3.9
30.2,3.2
30.4,3.3
29.9,4.9
30.1,5.3
30.1,4.3
30.7,3.9
30.6,3.6
30.5,2.3
29.8,3.0
29.3,3.3
28.8,2.9
28.9,2.4
28.9,2.1
28.7,2.5
28.4,2.0
27.9,2.5
27.5,2.6
27.2,1.5
26.9,1.3
26.6,1.7
26.5,2.3
27.7,1.5
29.3,0.7
31.3,0.7
31.8,0.9
31.5,1.5
31.3,1.9
31.3,2.8
31.9,2.4
31.6,2.6
31.2,3.3
31.3,1.7
30.3,2.2
29.5,1.7
29.2,0.7
29.1,1.0
28.7,1.2
28.8,1.0
29.1,0.9
29.0,0.4
28.0,1.6
28.0,1.0
27.8,0.8
27.4,0.4
27.6,1.3
29.1,0.6
29.4,1.3
31.1,1.2
31.2,1.8
30.7,2.3
31.4,2.6
31.6,3.2
31.7,2.7
31.8,2.3
31.7,1.7
31.1,1.5
30.8,0.7
29.3,1.7
29.0,1.1
29.0,1.0
29.1,0.0
28.9,0.0
28.7,0.6
28.3,0.1
27.7,0.0
0,0
27.6,0.0
26.9,0.6
27.1,0.1
29.0,0.3
29.8,1.5
31.0,0.8
31.1,1.8
31.4,2.6
31.7,2.7
31.7,3.1
31.8,2.7
31.7,2.6
32.2,2.1
31.4,1.9
30.9,1.8
30.6,0.3
0,0
30.1,0.0
29.7,1.2
29.3,1.1
28.4,0.8
28.0,0.9
27.4,1.6
27.3,0.4
27.5,0.5
27.2,0.0
26.9,0.3
28.1,0.7
29.4,1.7
30.8,0.6
0,0
31.6,1.1
31.6,2.4
31.8,3.2
32.0,3.2
32.0,2.3
31.6,2.1
31.5,1.8
31.1,1.5
29.2,2.5
28.8,1.8
28.3,2.0
28.2,1.7
27.9,2.5
27.7,2.3
28.0,1.5
27.6,1.8
27.9,0.5
27.9,0.0
0,0
27.8,0.1
28.2,1.4
28.2,2.3
29.5,2.7
30.0,3.5
31.8,2.3
33.1,2.7
33.5,2.4
32.2,5.6
32.5,5.4
33.0,3.4
32.4,4.3
31.6,4.3
30.7,3.8
30.6,2.9
30.0,2.8
29.8,2.4
29.5,1.1
29.1,1.1
29.1,1.0
29.0,1.1
28.4,0.3
28.5,2.8
28.3,2.5
28.2,3.0
26.9,2.5
26.7,2.8
26.8,2.4
27.9,1.4
0,0
30.3,1.5
31.0,2.1
30.7,3.1
29.8,3.8
29.6,4.3
29.7,3.1
29.3,0.9
28.8,0.7
28.5,1.7
28.1,0.9
28.2,0.0
28.0,1.4
27.2,1.5
27.4,0.3
27.5,0.3
27.6,0.6
27.2,0.1
27.2,0.6
27.4,1.0
27.6,1.1
28.3,0.2
29.3,1.1
30.6,1.5
31.9,1.0
32.6,1.8
28.0,2.5
25.5,1.5
25.8,2.7
26.2,2.0
0,0
27.8,1.1
27.6,0.3
27.2,0.3
0,0
27.6,0.7
27.7,0.1
27.5,0.0
27.3,0.9
25.9,0.2
26.2,0.9
26.3,0.8
26.4,0.2
25.8,0.6
26.9,0.9
28.0,1.1
29.3,1.3
30.4,2.6
30.7,3.1
30.5,2.6
30.5,3.2
29.7,4.3
29.0,3.1
28.9,1.9
28.7,1.7
28.1,1.3
25.4,1.5
25.3,1.3
25.2,1.0
26.0,1.7
25.9,0.7
25.9,1.9
26.1,0.8
26.1,0.2
26.2,0.6
26.3,0.1
26.0,0.8
25.9,1.6
27.1,0.8
27.9,1.9
28.7,1.9
28.7,2.5
29.4,2.9
29.3,2.2
29.8,2.6
29.8,2.2
30.2,3.4
29.5,2.3
28.7,1.4
28.2,2.8
0,0
27.9,0.8
28.0,1.2
27.8,0.2
27.5,1.2
27.3,0.0
27.3,0.3
27.1,0.0
26.8,0.7
26.6,0.9
26.5,1.2
26.6,0.5
27.2,0.8
27.8,0.7
28.8,0.5
30.1,2.0
0,0
32.6,1.1
31.3,3.8
30.9,4.3
31.3,1.7
30.5,2.9
29.8,3.6
29.6,2.0
28.9,1.7
28.8,0.7
28.7,1.7
28.3,2.2
27.7,1.9
27.7,1.7
27.6,1.7
27.2,2.6
27.2,1.9
27.4,2.2
26.7,2.1
27.0,1.6
27.5,2.9
29.1,1.8
29.8,1.3
30.8,1.8
31.7,1.3
31.6,2.7
30.7,3.1
29.9,3.3
29.6,3.5
28.9,2.3
28.5,2.4
28.2,1.4
24.5,3.4
24.8,0.6
25.0,1.0
25.2,0.5
25.4,0.2
25.1,2.2
24.9,1.9
25.2,1.0
25.6,0.5
25.5,1.5
25.3,0.8
25.2,1.4
26.3,1.9
28.4,1.7
28.9,4.4
29.8,3.4
30.9,4.0
30.6,3.5
30.1,4.6
30.5,5.1
30.2,3.9
29.4,4.4
29.2,3.6
28.6,3.2
28.4,1.5
28.6,1.4
28.4,0.3
28.1,1.3
28.0,2.4
27.8,1.8
27.6,2.2
27.4,1.9
27.2,1.8
27.1,1.9
26.9,2.9
26.8,2.1
27.2,0.8
28.3,1.1
30.6,2.0
30.3,2.7
30.4,2.8
31.2,2.9
32.2,1.6
32.2,2.4
32.6,2.2
32.5,1.5
32.0,1.3
31.4,1.1
30.8,2.1
30.9,1.0
30.8,1.1
29.9,1.7
29.7,1.4
29.2,3.0
28.5,1.4
28.3,2.2
28.0,2.2
28.2,1.0
28.2,1.6
28.3,0.0
